timestamp|ID|direction|type|DLC|data
47.868793|1b0|Rx|d|4|FF00FFC4
47.884316|211|Rx|d|8|8200FFFFA90000D1
47.884316|214|Rx|d|2|0
47.884316|4f8|Rx|d|8|94C0000000000000
47.884316|1b0|Rx|d|4|FF00FFC4
47.902984|211|Rx|d|8|8200FFFFA90000D1
47.902984|214|Rx|d|2|0
47.902984|3b7|Rx|d|6|37007FC000C0
47.902984|350|Rx|d|8|C02F3AFA1870A489
47.902984|1b0|Rx|d|4|FF00FFC4
47.902984|4de|Rx|d|3|C00000
47.902984|55d|Rx|d|8|00FD50C091800000
47.918638|211|Rx|d|8|8200FFFFA90000D1
47.918638|214|Rx|d|2|0
47.928700|1b0|Rx|d|4|FF00FFC4
47.928700|5de|Rx|d|8|2
47.938705|5df|Rx|d|3|9500
47.938705|211|Rx|d|8|8200FFFFA90000D1
47.938705|214|Rx|d|2|0
47.943695|1b0|Rx|d|4|FF00FFC4
47.943695|657|Rx|d|2|C0CC
47.963806|4ac|Rx|d|5|83762A0080
47.963806|45c|Rx|d|6|00000000FFE0
47.963806|211|Rx|d|8|8200FFFFA90000D1
47.963806|214|Rx|d|2|0
47.963806|218|Rx|d|1|98
47.963806|4fa|Rx|d|2|800
47.963806|671|Rx|d|2|200
47.968812|1b0|Rx|d|4|FF00FFC4
47.978450|211|Rx|d|8|8200FFFFA90000D1
47.978450|214|Rx|d|2|0
47.983842|4f8|Rx|d|8|94C0000000000000
47.983842|1b0|Rx|d|4|FF00FFC4
47.998800|211|Rx|d|8|8200FFFFA90000D1
47.998800|214|Rx|d|2|0
47.998800|3b7|Rx|d|6|37007FC000C0
48.013552|350|Rx|d|8|C02F3AFA1870A489
48.013552|1b0|Rx|d|4|FF00FFC4
48.013552|4de|Rx|d|3|C00000
48.013552|55d|Rx|d|8|00FD50C091800000
48.013552|211|Rx|d|8|8200FFFFA90000D1
48.013552|214|Rx|d|2|0
48.028670|1b0|Rx|d|4|FF00FFC4
48.028670|5de|Rx|d|8|2
48.048723|5df|Rx|d|3|9500
48.048723|211|Rx|d|8|8200FFFFA90000D1
48.048723|214|Rx|d|2|0
48.048723|1b0|Rx|d|4|FF00FFC4
48.048723|657|Rx|d|2|C0CC
48.062744|4ac|Rx|d|5|83762A0080
48.062744|45c|Rx|d|6|00000000FFE0
48.062744|211|Rx|d|8|8200FFFFA90000D1
48.062744|214|Rx|d|2|0
48.062744|218|Rx|d|1|98
48.062744|4fa|Rx|d|2|800
48.062744|671|Rx|d|2|200
48.062744|1b0|Rx|d|4|FF00FFC4
48.083615|211|Rx|d|8|8200FFFFA90000D1
48.083615|214|Rx|d|2|0
48.083615|4f8|Rx|d|8|94C0000000000000
48.083615|1b0|Rx|d|4|FF00FFC4
48.104244|6fb|Rx|d|8|0F01A454FF0000FF
48.104244|211|Rx|d|8|8200FFFFA90000D1
48.104244|214|Rx|d|2|0
48.104244|3b7|Rx|d|6|37007FC000C0
48.104244|350|Rx|d|8|C02F3AFA1870A489
48.104244|1b0|Rx|d|4|FF00FFC4
48.104244|4de|Rx|d|3|C00000
48.104244|55d|Rx|d|8|00FD50C091800000
48.123623|646|Rx|d|8|000000020000000C
48.123623|211|Rx|d|8|8200FFFFA90000D1
48.123623|214|Rx|d|2|0
48.123623|5ce|Rx|d|3|FEFF00
48.123623|1b0|Rx|d|4|FF00FFC4
48.123623|5de|Rx|d|8|2
48.142675|5df|Rx|d|3|9500
48.142675|211|Rx|d|8|8200FFFFA90000D1
48.142675|214|Rx|d|2|0
48.142675|1b0|Rx|d|4|FF00FFC4
48.142675|657|Rx|d|2|C0CC
