<timestamp>|<CAN_ID>|<direction>|<type>|<DLC>|<data_bytes>
504.620582|1b0|Rx|d|4|FF00FFC0
504.632573|211|Rx|d|8|8200FFFFA90000D0
504.632573|214|Rx|d|2|0000
504.640567|350|Rx|d|8|C02F3AF81870A489
504.640567|1b0|Rx|d|4|FF00FFC0
504.640567|4de|Rx|d|3|C00000
504.640567|55d|Rx|d|8|00FC50C090800000
504.652562|211|Rx|d|8|8200FFFFA90000D0
504.652562|214|Rx|d|2|0000
504.652562|218|Rx|d|1|98
504.652562|4fa|Rx|d|2|0800
504.652562|671|Rx|d|2|0200
504.660556|1b0|Rx|d|4|FF00FFC0
504.660556|5de|Rx|d|8|0000000000000002
504.666552|4f8|Rx|d|8|94C0000000000000
504.672549|5df|Rx|d|3|009500
504.674547|211|Rx|d|8|8200FFFFA90000D0
504.674547|214|Rx|d|2|0000
504.680543|1b0|Rx|d|4|FF00FFC0
504.680543|657|Rx|d|2|C0CC
504.686540|3b7|Rx|d|6|00007FC000C0
504.692537|4ac|Rx|d|5|83742A0080
504.692537|45c|Rx|d|6|00000000FFE0
504.692537|211|Rx|d|8|8200FFFFA90000D0
504.692537|214|Rx|d|2|0000
504.700532|1b0|Rx|d|4|FF00FFC0
504.712523|211|Rx|d|8|8200FFFFA90000D0
504.712523|214|Rx|d|2|0000
504.720519|1b0|Rx|d|4|FF00FFC0
504.732681|211|Rx|d|8|8200FFFFA90000D0
504.732681|214|Rx|d|2|0000
504.740676|350|Rx|d|8|C02F3AF81870A489
504.740676|1b0|Rx|d|4|FF00FFC0
504.740676|4de|Rx|d|3|C00000
504.740676|55d|Rx|d|8|00FC50C090800000
504.752669|211|Rx|d|8|8200FFFFA90000D0
504.752669|214|Rx|d|2|0000
504.752669|218|Rx|d|1|98
504.752669|4fa|Rx|d|2|0800
504.752669|671|Rx|d|2|0200
504.760664|1b0|Rx|d|4|FF00FFC0
504.760664|5de|Rx|d|8|0000000000000002
504.766660|4f8|Rx|d|8|94C0000000000000
504.772657|5df|Rx|d|3|009500
504.772657|211|Rx|d|8|8200FFFFA90000D0
504.772657|214|Rx|d|2|0000
504.780651|1b0|Rx|d|4|FF00FFC0
504.780651|657|Rx|d|2|C0CC
504.786648|3b7|Rx|d|6|00007FC000C0
504.792644|4ac|Rx|d|5|83742A0080
504.792644|45c|Rx|d|6|00000000FFE0
504.792644|211|Rx|d|8|8200FFFFA90000D0
