<timestamp>|<CAN_ID>|<direction>|<type>|<DLC>|<data_bytes>
507.740717|1b0|Rx|d|4|FF00FFC0
507.740717|4de|Rx|d|3|C00000
507.740717|55d|Rx|d|8|00FC50C090800000
507.752710|211|Rx|d|8|8200FFFFA90000D0
507.752710|214|Rx|d|2|0000
507.752710|218|Rx|d|1|98
507.752710|4fa|Rx|d|2|0800
507.752710|671|Rx|d|2|0200
507.760704|1b0|Rx|d|4|FF00FFC0
507.760704|5de|Rx|d|8|0000000000000002
507.762704|4f8|Rx|d|8|94C0000000000000
507.770698|5df|Rx|d|3|009500
507.770698|211|Rx|d|8|8200FFFFA90000D0
507.770698|214|Rx|d|2|0000
507.780693|1b0|Rx|d|4|FF00FFC0
507.780693|657|Rx|d|2|C0CC
507.780693|3b7|Rx|d|6|00007FC000C0
507.790686|4ac|Rx|d|5|83742A0080
507.790686|45c|Rx|d|6|00000000FFE0
507.790686|211|Rx|d|8|8200FFFFA90000D0
507.790686|214|Rx|d|2|0000
507.800682|1b0|Rx|d|4|FF00FFC0
507.812673|211|Rx|d|8|8200FFFFA90000D0
507.812673|214|Rx|d|2|0000
507.820667|1b0|Rx|d|4|FF00FFC0
507.832744|211|Rx|d|8|8200FFFFA90000D0
507.832744|214|Rx|d|2|0000
507.840739|350|Rx|d|8|C02F3AF81870A489
507.840739|1b0|Rx|d|4|FF00FFC0
507.840739|4de|Rx|d|3|C00000
507.840739|55d|Rx|d|8|00FC50C090800000
507.852733|211|Rx|d|8|8200FFFFA90000D0
507.852733|214|Rx|d|2|0000
507.852733|218|Rx|d|1|98
507.852733|4fa|Rx|d|2|0800
507.852733|671|Rx|d|2|0200
507.860727|1b0|Rx|d|4|FF00FFC0
507.860727|5de|Rx|d|8|0000000000000002
507.862725|4f8|Rx|d|8|94C0000000000000
507.870720|5df|Rx|d|3|009500
507.870720|211|Rx|d|8|8200FFFFA90000D0
507.870720|214|Rx|d|2|0000
507.880714|1b0|Rx|d|4|FF00FFC0
507.880714|657|Rx|d|2|C0CC
507.880714|3b7|Rx|d|6|00007FC000C0
507.890707|4ac|Rx|d|5|83742A0080
507.890707|45c|Rx|d|6|00000000FFE0
507.890707|211|Rx|d|8|8200FFFFA90000D0
507.890707|214|Rx|d|2|0000
507.900702|1b0|Rx|d|4|FF00FFC0
507.912695|211|Rx|d|8|8200FFFFA90000D0
507.912695|214|Rx|d|2|0000
507.918691|1b0|Rx|d|4|FF00FFC0
507.932682|211|Rx|d|8|8200FFFFA90000D0
507.932682|214|Rx|d|2|0000
507.940676|350|Rx|d|8|C02F3AF81870A489
507.940676|1b0|Rx|d|4|FF00FFC0
507.940676|4de|Rx|d|3|C00000
