LogEntrySeconds,Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Положение педали газа ( %),Положение дроссельной заслонки ( %),Скорость автомобиля ( км/час),Флаг нажатия педали сцепления (-),Величина отскока УОЗ при детонации ( °ПКВ),Счетчик пропусков в цилиндре 1 за текущую поездку (-),Счетчик пропусков в цилиндре 3 за текущую поездку (-),Счетчик пропусков в цилиндре 4 за текущую поездку (-),Счетчик пропусков в цилиндре 2 за текущую поездку (-)
33,30.0,1220.0,1220.0,3.75,4.064,0.51,0.0,6.49,0.0,0.0,0.0,,,,
34,30.0,1226.0,1220.0,2.25,4.096,0.51,0.0,6.45,0.0,0.0,0.0,,,,
34,30.0,1219.0,1220.0,7.5,4.077,0.51,0.0,6.49,0.0,0.0,0.0,,,,
35,30.0,1222.0,1220.0,3.0,4.077,0.47,0.0,6.45,0.0,0.0,0.0,,,,
35,30.75,1217.0,1220.0,6.75,3.955,0.41,0.0,6.45,0.0,0.0,0.0,,,,
37,30.75,1208.0,1220.0,3.0,4.006,0.9,0.0,6.37,0.0,0.0,0.0,,,,
37,30.75,1220.0,1220.0,6.75,3.846,0.6,0.0,6.37,0.0,0.0,0.0,,,,
38,30.75,1219.0,1220.0,4.5,3.968,0.98,0.0,6.37,0.0,0.0,0.0,,,,
38,30.75,1223.0,1220.0,3.0,3.936,0.49,0.0,6.37,0.0,0.0,0.0,,,,
38,30.75,1216.0,1220.0,1.5,3.936,0.37,0.0,6.37,0.0,0.0,0.0,,,,
39,31.5,1215.0,1220.0,6.0,4.019,0.88,0.0,6.25,0.0,0.0,0.0,,,,
40,31.5,1223.0,1220.0,0.75,4.038,0.92,0.0,6.32,0.0,0.0,0.0,,,,
40,31.5,1229.0,1220.0,1.5,4.006,0.94,0.0,6.32,0.0,0.0,0.0,,,,
41,31.5,1236.0,1220.0,0.0,4.218,0.94,0.0,6.37,0.0,0.0,0.0,,,,
41,31.5,1234.0,1220.0,2.25,4.09,0.95,0.0,6.32,0.0,0.0,0.0,,,,
41,31.5,1233.0,1220.0,3.0,4.064,0.93,0.0,6.32,0.0,0.0,0.0,,,,
42,31.5,1227.0,1220.0,3.0,4.051,0.93,0.0,6.25,0.0,0.0,0.0,,,,
42,31.5,1226.0,1220.0,3.75,4.051,0.93,0.0,6.32,0.0,0.0,0.0,,,,
42,31.5,1233.0,1210.0,3.0,3.987,0.93,0.0,6.13,0.0,0.0,0.0,,,,
43,31.5,1231.0,1210.0,1.5,3.974,0.94,0.0,6.13,0.0,0.0,0.0,,,,
43,32.25,1229.0,1210.0,2.25,4.083,0.94,0.0,6.13,0.0,0.0,0.0,,,,
44,32.25,1222.0,1210.0,2.25,4.109,0.94,0.0,6.01,0.0,0.0,0.0,,,,
44,32.25,1216.0,1210.0,3.75,4.102,0.95,0.0,6.08,0.0,0.0,0.0,,,,
45,32.25,1211.0,1210.0,5.25,4.102,0.95,0.0,6.08,0.0,0.0,0.0,,,,
45,32.25,1210.0,1210.0,4.5,4.09,0.95,0.0,6.08,0.0,0.0,0.0,,,,
45,32.25,1206.0,1210.0,5.25,4.115,0.95,0.0,6.08,0.0,0.0,0.0,,,,
