LogEntrySeconds,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Напряжение датчика кислорода 2 ( В),Положение дроссельной заслонки ( %),Величина отскока УОЗ при детонации ( °ПКВ)
39,14.0,31.5,1215.0,1220.0,6.0,4.019,0.88,0.52,6.25,0.0
40,14.0,31.5,1223.0,1220.0,0.75,4.038,0.92,0.52,6.32,0.0
40,14.0,31.5,1229.0,1220.0,1.5,4.006,0.94,0.52,6.32,0.0
41,14.0,31.5,1236.0,1220.0,0.0,4.218,0.94,0.52,6.37,0.0
41,14.0,31.5,1234.0,1220.0,2.25,4.09,0.95,0.52,6.32,0.0
41,14.0,31.5,1233.0,1220.0,3.0,4.064,0.93,0.52,6.32,0.0
42,14.0,31.5,1227.0,1220.0,3.0,4.051,0.93,0.52,6.25,0.0
42,14.1,31.5,1226.0,1220.0,3.75,4.051,0.93,0.52,6.32,0.0
42,14.1,31.5,1233.0,1210.0,3.0,3.987,0.93,0.51,6.13,0.0
43,14.1,31.5,1231.0,1210.0,1.5,3.974,0.94,0.52,6.13,0.0
43,14.0,32.25,1229.0,1210.0,2.25,4.083,0.94,0.52,6.13,0.0
44,14.0,32.25,1222.0,1210.0,2.25,4.109,0.94,0.52,6.01,0.0
44,14.0,32.25,1216.0,1210.0,3.75,4.102,0.95,0.52,6.08,0.0
45,14.1,32.25,1211.0,1210.0,5.25,4.102,0.95,0.52,6.08,0.0
45,14.1,32.25,1210.0,1210.0,4.5,4.09,0.95,0.52,6.08,0.0
45,14.1,32.25,1206.0,1210.0,5.25,4.115,0.95,0.52,6.08,0.0
46,14.1,32.25,1215.0,1210.0,3.75,4.09,0.96,0.52,6.01,0.0
46,14.1,32.25,1214.0,1210.0,5.25,3.981,0.96,0.52,6.01,0.0
47,14.1,32.25,1215.0,1210.0,4.5,4.058,0.95,0.52,6.08,0.0
47,14.1,33.0,1212.0,1210.0,5.25,4.0,0.95,0.52,6.01,0.0
47,14.1,33.0,1205.0,1210.0,4.5,4.019,0.95,0.52,6.01,0.0
50,14.1,33.0,1203.0,1210.0,4.5,3.821,0.92,0.52,5.93,0.0
50,14.1,33.0,1201.0,1210.0,4.5,3.744,0.92,0.51,6.01,0.0
51,14.1,33.75,1197.0,1210.0,6.75,3.699,0.9,0.52,5.93,0.0
51,14.1,33.75,1192.0,1210.0,5.25,3.61,0.81,0.51,6.01,0.0
52,14.1,33.75,1189.0,1210.0,6.75,4.083,0.18,0.52,6.45,0.0
52,14.1,33.75,1196.0,1210.0,3.75,4.23,0.67,0.52,6.32,0.0
53,14.1,33.75,1194.0,1200.0,6.0,3.981,0.89,0.52,6.32,0.0
53,14.1,33.75,1188.0,1200.0,4.5,3.904,0.84,0.52,6.32,0.0
53,14.1,33.75,1194.0,1200.0,6.0,3.981,0.18,0.52,6.37,0.0
54,14.1,33.75,1197.0,1200.0,3.75,4.09,0.22,0.52,6.37,0.0
54,14.1,34.5,1199.0,1200.0,3.75,3.923,0.79,0.52,6.32,0.0
55,14.1,34.5,1191.0,1200.0,8.25,4.051,0.2,0.52,6.37,0.0
56,14.1,34.5,1203.0,1200.0,1.5,4.019,0.81,0.52,6.32,0.0
56,14.1,34.5,1195.0,1200.0,4.5,3.859,0.21,0.52,6.32,0.0
56,14.1,34.5,1199.0,1200.0,4.5,3.955,0.32,0.52,6.32,0.0
57,14.1,34.5,1193.0,1200.0,9.0,3.936,0.81,0.52,6.32,0.0
57,14.1,34.5,1200.0,1200.0,8.25,3.853,0.2,0.52,6.2,0.0
57,14.1,34.5,1202.0,1200.0,2.25,4.013,0.65,0.52,6.2,0.0
58,14.1,35.25,1204.0,1200.0,7.5,3.616,0.84,0.52,6.08,0.0
58,14.1,35.25,1192.0,1200.0,5.25,3.744,0.19,0.52,6.08,0.0
59,14.1,35.25,1204.0,1200.0,2.25,3.814,0.19,0.52,5.93,0.0
59,14.1,35.25,1200.0,1200.0,3.75,3.859,0.58,0.52,5.93,0.0
59,14.1,35.25,1198.0,1200.0,6.75,3.693,0.86,0.52,5.93,0.0
60,14.1,35.25,1197.0,1200.0,8.25,3.629,0.84,0.52,5.93,0.0
61,14.1,35.25,1199.0,1200.0,6.75,3.776,0.21,0.52,5.93,0.0
61,14.1,35.25,1195.0,1200.0,4.5,3.77,0.8,0.52,6.01,0.0
62,14.1,36.0,1189.0,1200.0,10.5,3.84,0.27,0.51,6.01,0.0
62,14.1,36.0,1192.0,1190.0,7.5,3.68,0.86,0.52,5.93,0.0
63,14.1,36.0,1185.0,1190.0,6.75,4.019,0.19,0.52,5.93,0.0
63,14.1,36.0,1193.0,1190.0,6.0,3.859,0.31,0.52,6.01,0.0
64,14.1,36.0,1163.0,990.0,10.5,3.187,0.2,0.52,5.03,0.0
64,14.1,36.0,1114.0,990.0,6.75,3.405,0.19,0.52,5.1,0.0
65,14.0,36.0,1049.0,990.0,7.5,3.853,0.86,0.52,5.1,0.0
65,14.1,36.0,1012.0,990.0,4.5,3.974,0.97,0.52,5.1,0.0
66,14.1,36.75,989.0,990.0,6.75,3.987,0.95,0.52,5.03,0.0
66,14.1,36.75,981.0,990.0,3.75,3.904,0.92,0.52,5.03,0.0
66,14.1,36.75,978.0,990.0,3.75,3.827,0.87,0.52,5.03,0.0
67,14.0,36.75,978.0,990.0,4.5,3.827,0.19,0.51,5.1,0.0
67,14.1,36.75,982.0,990.0,5.25,3.904,0.2,0.52,5.1,0.0
68,14.1,36.75,986.0,990.0,4.5,3.968,0.21,0.52,5.03,0.0
68,14.0,36.75,982.0,990.0,7.5,3.866,0.85,0.52,5.1,0.0
68,14.1,36.75,975.0,990.0,8.25,3.802,0.81,0.52,5.1,0.0
69,14.1,36.75,981.0,990.0,3.0,3.93,0.2,0.52,5.03,0.0
69,14.1,36.75,982.0,990.0,6.0,3.974,0.28,0.52,5.1,0.0
70,14.0,37.5,979.0,990.0,8.25,3.866,0.85,0.52,5.1,0.0
70,14.1,37.5,988.0,990.0,6.0,3.923,0.2,0.52,5.03,0.0
70,14.1,37.5,987.0,990.0,3.75,3.987,0.28,0.52,5.03,0.0
71,14.1,37.5,986.0,990.0,3.75,3.789,0.84,0.52,5.03,0.0
71,14.0,37.5,974.0,990.0,5.25,3.866,0.21,0.52,5.1,0.0
72,14.1,37.5,986.0,990.0,3.75,3.898,0.2,0.52,5.03,0.0
72,14.0,37.5,982.0,990.0,7.5,3.885,0.79,0.51,5.03,0.0
73,14.1,37.5,981.0,990.0,4.5,3.872,0.21,0.52,5.03,0.0
73,14.1,37.5,973.0,980.0,6.0,3.955,0.2,0.52,5.1,0.0
74,14.1,38.25,978.0,980.0,6.75,3.949,0.7,0.51,5.03,0.0
74,14.0,38.25,976.0,980.0,4.5,3.821,0.85,0.52,5.03,0.0
74,14.0,38.25,978.0,980.0,1.5,3.853,0.2,0.52,5.03,0.0
