LogEntrySeconds,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Напряжение датчика кислорода 2 ( В),Положение дроссельной заслонки ( %),Величина отскока УОЗ при детонации ( °ПКВ)
154,14.1,51.0,2171.0,900.0,21.75,2.598,0.81,0.87,7.06,0.0
158,14.1,51.75,1807.0,900.0,33.0,2.707,0.17,0.19,6.37,0.0
159,14.1,51.75,1829.0,900.0,33.75,2.445,0.18,0.18,5.88,0.0
159,14.1,51.75,1800.0,900.0,35.25,2.208,0.18,0.19,5.15,0.0
160,14.1,51.75,1760.0,900.0,35.25,2.24,0.2,0.2,4.79,0.0
160,14.1,51.75,1720.0,900.0,35.25,2.061,0.81,0.8,4.0,0.0
161,14.1,51.75,1647.0,900.0,18.0,2.08,0.95,0.94,3.93,0.0
161,14.1,51.75,1557.0,900.0,15.75,2.573,0.97,0.97,4.98,0.0
161,14.1,51.75,1552.0,900.0,23.25,3.36,0.96,0.98,6.79,0.0
162,14.1,51.75,1538.0,900.0,10.5,4.051,0.95,0.98,7.4,0.0
162,14.1,52.5,1589.0,900.0,9.75,3.821,0.94,0.96,7.15,0.0
163,14.1,52.5,1639.0,900.0,12.75,3.494,0.19,0.68,7.1,0.0
163,14.1,52.5,1668.0,900.0,14.25,3.424,0.2,0.21,7.1,0.0
164,14.1,52.5,1718.0,900.0,14.25,3.206,0.22,0.22,6.93,0.0
164,14.1,52.5,1737.0,900.0,18.0,3.238,0.22,0.22,7.06,0.0
165,14.1,52.5,1766.0,900.0,18.75,3.283,0.22,0.22,7.35,0.0
165,14.1,52.5,1824.0,900.0,18.0,3.379,0.2,0.23,7.47,0.0
165,14.1,52.5,1826.0,900.0,21.0,2.848,0.34,0.77,6.69,0.0
166,14.1,52.5,1845.0,900.0,33.75,2.643,0.88,0.89,6.08,0.0
166,14.1,52.5,1876.0,900.0,33.75,2.304,0.87,0.87,5.35,0.0
167,14.1,52.5,1852.0,900.0,35.25,2.189,0.19,0.71,5.22,0.0
167,14.1,52.5,1854.0,900.0,35.25,2.227,0.22,0.22,5.1,0.0
167,14.1,52.5,1771.0,900.0,35.25,2.054,0.81,0.82,4.25,0.0
168,14.1,52.5,1714.0,900.0,36.0,1.946,0.2,0.2,4.0,0.0
168,14.1,53.25,1625.0,900.0,24.0,2.163,0.87,0.78,4.61,0.0
169,14.1,53.25,1545.0,900.0,32.25,3.066,0.97,0.96,6.49,0.0
169,14.1,53.25,1547.0,900.0,12.75,3.923,0.97,0.98,7.35,0.0
169,14.1,53.25,1609.0,900.0,11.25,4.23,0.96,0.98,7.84,0.0
170,14.1,53.25,1677.0,900.0,14.25,3.699,0.93,0.97,7.71,0.0
170,14.1,53.25,1738.0,900.0,18.75,3.347,0.18,0.22,7.91,0.0
171,14.1,53.25,1752.0,900.0,16.5,3.27,0.19,0.2,7.47,0.0
171,14.1,53.25,1767.0,900.0,17.25,3.437,0.18,0.2,7.71,0.0
171,14.1,53.25,1792.0,900.0,15.75,3.539,0.19,0.2,7.84,0.0
172,14.1,53.25,1836.0,900.0,18.75,3.334,0.85,0.73,7.76,0.0
172,14.1,53.25,1908.0,900.0,25.5,3.232,0.87,0.74,7.35,0.0
173,14.1,53.25,1953.0,2520.0,15.75,3.098,0.93,0.92,7.06,-60.75
175,14.1,54.0,2047.0,900.0,33.0,2.886,0.97,0.98,6.93,0.0
175,14.1,54.0,2073.0,900.0,33.0,2.797,0.95,0.97,6.93,0.0
176,14.1,54.0,2066.0,900.0,21.0,2.541,0.93,0.97,6.32,0.0
176,14.1,54.0,2057.0,900.0,34.5,2.195,0.85,0.93,5.4,0.0
177,14.1,54.0,2002.0,900.0,34.5,1.958,0.69,0.9,5.1,0.0
177,14.1,54.0,1970.0,900.0,35.25,2.003,0.17,0.21,5.15,0.0
177,14.1,54.0,1841.0,900.0,11.25,2.458,0.16,0.19,7.35,0.0
178,14.1,54.0,1973.0,2520.0,30.75,3.52,0.19,0.2,8.81,-61.5
178,14.1,54.0,1971.0,900.0,31.5,3.366,0.17,0.2,7.59,0.0
179,14.1,54.0,1945.0,900.0,32.25,2.784,0.89,0.89,6.86,0.0
179,14.1,54.0,2126.0,900.0,33.0,2.944,0.78,0.6,7.06,0.0
179,14.1,54.0,2089.0,900.0,33.0,2.848,0.87,0.9,7.1,0.0
180,14.1,54.75,2074.0,900.0,33.0,2.765,0.92,0.95,6.98,0.0
180,14.1,54.75,2127.0,900.0,33.0,2.675,0.69,0.87,6.98,0.0
180,14.1,54.75,2158.0,900.0,33.0,2.714,0.25,0.61,6.98,0.0
183,14.1,54.75,2241.0,900.0,28.5,2.528,0.22,0.54,6.98,0.0
183,14.1,54.75,2177.0,900.0,20.25,2.387,0.87,0.85,6.01,0.0
184,14.1,54.75,2178.0,900.0,35.25,2.029,0.91,0.93,5.27,0.0
184,14.1,54.75,2083.0,900.0,24.0,1.933,0.94,0.98,4.91,0.0
185,14.1,54.75,2003.0,900.0,36.0,1.67,0.83,0.91,4.13,0.0
185,14.1,54.75,1879.0,900.0,36.75,1.421,0.17,0.2,3.81,0.0
185,14.1,54.75,1714.0,900.0,13.5,2.054,0.14,0.18,5.15,0.0
186,14.1,55.5,1655.0,900.0,32.25,2.906,0.15,0.19,6.79,0.0
186,14.1,55.5,1670.0,900.0,30.0,3.674,0.16,0.21,8.08,0.0
187,14.1,55.5,1733.0,900.0,30.0,3.558,0.16,0.21,8.08,0.0
187,14.1,55.5,1799.0,900.0,32.25,2.912,0.16,0.2,7.23,0.0
187,14.1,55.5,1846.0,900.0,18.0,2.918,0.16,0.2,7.06,0.0
188,14.0,55.5,1808.0,900.0,33.75,2.56,0.17,0.2,6.01,0.0
188,14.0,55.5,1811.0,900.0,34.5,2.221,0.17,0.21,5.35,0.0
189,14.0,55.5,1755.0,900.0,24.75,2.234,0.17,0.21,5.15,0.0
189,14.1,55.5,1737.0,900.0,33.0,3.027,0.17,0.21,7.1,0.0
189,14.1,55.5,1746.0,900.0,30.75,4.026,0.21,0.23,8.25,0.0
190,14.1,55.5,1851.0,900.0,30.75,3.93,0.91,0.92,8.69,0.0
192,14.1,56.25,2227.0,900.0,19.5,2.368,0.41,0.83,6.32,0.0
193,14.1,56.25,2211.0,900.0,34.5,2.048,0.83,0.71,5.4,0.0
193,14.1,56.25,2127.0,900.0,23.25,2.048,0.95,0.94,5.1,0.0
193,14.1,56.25,2109.0,900.0,34.5,2.394,0.89,0.96,7.06,0.0
194,14.1,56.25,2100.0,900.0,25.5,2.874,0.19,0.22,7.35,0.0
194,14.1,56.25,2069.0,900.0,18.0,2.72,0.2,0.24,6.79,0.0
195,14.1,56.25,2075.0,900.0,21.75,2.426,0.21,0.25,6.01,0.0
195,14.1,56.25,2013.0,900.0,34.5,2.093,0.83,0.81,5.27,0.0
195,14.1,56.25,1976.0,900.0,34.5,2.093,0.19,0.25,5.03,0.0
196,14.1,56.25,1961.0,900.0,33.75,2.464,0.23,0.65,6.98,0.0
196,14.1,56.25,1972.0,900.0,32.25,3.155,0.2,0.24,7.47,0.0
197,14.1,56.25,1987.0,900.0,15.75,2.906,0.86,0.85,6.86,0.0
197,14.1,56.25,2007.0,900.0,20.25,2.605,0.63,0.48,6.01,0.0
197,14.1,56.25,1978.0,900.0,34.5,2.118,0.84,0.87,5.27,0.0
198,14.0,56.25,1920.0,900.0,35.25,2.016,0.19,0.24,5.1,0.0
198,14.0,56.25,1807.0,900.0,36.0,1.882,0.16,0.22,4.79,0.0
201,14.1,57.0,1078.0,900.0,13.5,3.821,0.99,1.02,5.15,0.0
201,14.1,57.0,1127.0,900.0,15.75,3.392,0.94,0.99,5.22,0.0
201,14.1,57.0,1106.0,900.0,11.25,3.45,0.19,0.46,5.22,0.0
202,14.0,57.0,1172.0,900.0,16.5,3.238,0.18,0.22,5.27,0.0
202,14.0,57.0,1177.0,900.0,12.75,3.251,0.18,0.2,5.27,0.0
203,14.1,57.0,1172.0,900.0,15.75,3.373,0.18,0.21,5.52,0.0
203,14.1,57.0,1218.0,900.0,9.75,3.77,0.18,0.21,6.08,0.0
203,14.1,57.0,1268.0,900.0,8.25,4.077,0.32,0.27,6.32,0.0
204,14.0,57.0,1297.0,900.0,7.5,3.987,0.91,0.92,6.18,0.0
204,14.0,57.0,1328.0,900.0,10.5,3.629,0.6,0.89,6.25,0.0
205,14.1,57.0,1377.0,900.0,11.25,3.994,0.62,0.24,6.79,0.0
205,14.1,57.0,1452.0,900.0,12.0,3.77,0.89,0.89,6.98,0.0
205,14.1,57.75,1508.0,900.0,12.75,3.712,0.2,0.27,7.15,0.0
206,14.1,57.75,1580.0,900.0,9.0,4.627,0.85,0.72,8.62,0.0
206,14.1,57.75,1651.0,900.0,12.0,4.288,0.94,0.94,8.86,0.0
207,14.1,57.75,1782.0,900.0,30.0,4.032,0.18,0.22,9.67,0.0
207,14.1,57.75,1840.0,900.0,16.5,4.416,0.17,0.2,10.03,0.0
207,14.1,57.75,2005.0,2520.0,29.25,4.691,0.95,0.9,10.21,9.75
208,14.1,57.75,2188.0,900.0,15.0,3.187,0.99,1.0,3.76,0.0
208,14.1,57.75,1870.0,900.0,36.75,1.261,0.17,0.75,3.32,0.0
209,14.1,57.75,1497.0,900.0,34.5,1.766,0.16,0.18,3.44,0.0
209,14.1,57.75,1367.0,900.0,22.5,4.25,0.18,0.19,7.3,0.0
209,14.1,57.75,1270.0,900.0,27.75,4.16,0.74,0.7,6.74,0.0
210,14.1,57.75,1318.0,900.0,26.25,4.736,0.21,0.23,7.4,0.0
210,13.7,57.75,1245.0,2000.0,30.75,3.674,0.11,0.72,9.67,93.0
211,14.0,57.75,1443.0,1940.0,25.5,5.331,0.11,1.15,9.06,93.0
211,14.0,57.75,1437.0,900.0,25.5,5.216,0.27,0.85,9.89,0.0
211,14.0,57.75,1562.0,900.0,21.75,7.302,0.21,0.24,14.4,0.0
212,14.1,58.5,1677.0,900.0,21.0,6.682,0.2,0.65,13.99,0.0
212,14.1,58.5,1812.0,900.0,22.5,6.56,0.17,0.2,14.94,0.0
213,14.1,58.5,1924.0,900.0,22.5,7.085,0.19,0.21,15.31,0.0
213,14.1,58.5,2075.0,900.0,22.5,7.059,0.93,0.91,15.01,0.0
213,14.1,58.5,2194.0,900.0,24.75,6.029,0.98,1.0,13.55,0.0
214,14.1,58.5,2298.0,900.0,27.0,5.434,0.96,0.99,13.31,0.0
214,14.1,58.5,2395.0,900.0,27.75,5.094,0.2,0.65,13.99,0.0
215,14.1,58.5,2474.0,900.0,29.25,4.659,0.18,0.22,12.94,0.0
215,14.1,58.5,2556.0,900.0,27.0,6.33,0.18,0.22,18.12,0.0
215,14.1,58.5,2648.0,900.0,21.75,5.184,0.19,0.24,13.55,0.0
216,14.1,58.5,2677.0,900.0,34.5,3.149,0.17,0.22,10.45,0.0
216,14.1,58.5,2695.0,900.0,22.5,2.906,0.2,0.23,9.3,0.0
217,14.0,58.5,2684.0,900.0,36.75,2.624,0.74,0.26,8.13,0.0
217,14.1,58.5,2481.0,900.0,19.5,2.714,0.93,0.93,6.37,0.0
217,14.0,58.5,2198.0,900.0,13.5,2.381,1.03,1.05,3.93,0.0
218,14.0,59.25,1972.0,900.0,13.5,1.869,1.04,1.06,3.56,0.0
218,14.0,59.25,1817.0,900.0,10.5,1.632,0.93,1.05,3.39,0.0
221,14.1,59.25,2204.0,900.0,14.25,10.4,0.99,1.03,30.05,0.0
221,14.1,59.25,2385.0,900.0,16.5,9.875,0.99,1.06,33.33,0.0
221,14.1,59.25,2585.0,900.0,18.75,9.869,0.19,0.37,39.79,0.0
222,14.1,59.25,2805.0,900.0,18.75,10.746,0.18,0.24,38.5,0.0
222,14.1,59.25,3025.0,900.0,20.25,10.182,0.89,0.88,32.59,0.0
223,14.1,59.25,3042.0,900.0,18.0,0.55,0.93,1.0,2.29,0.0
223,14.1,59.25,2584.0,900.0,39.0,1.549,0.15,0.24,5.4,0.0
223,14.1,59.25,2235.0,900.0,25.5,6.566,0.95,0.89,14.23,0.0
224,14.1,60.0,2069.0,900.0,22.5,7.078,0.93,0.98,16.53,0.0
224,14.1,60.0,2141.0,900.0,15.0,10.72,0.77,0.7,30.52,0.0
225,14.1,60.0,2215.0,900.0,15.0,9.894,0.98,1.01,27.66,0.0
225,14.1,60.0,2283.0,2520.0,15.75,9.299,0.99,1.06,26.22,-14.25
225,14.1,60.0,2351.0,900.0,17.25,8.454,0.98,1.05,26.1,0.0
226,14.1,60.0,2394.0,900.0,18.75,8.333,0.19,0.77,26.27,0.0
226,14.1,60.0,2459.0,900.0,20.25,7.942,0.2,0.3,24.63,0.0
227,14.1,60.0,2533.0,900.0,23.25,6.938,0.21,0.31,19.82,0.0
227,14.1,60.0,2562.0,900.0,33.75,2.47,0.16,0.27,10.21,0.0
227,14.1,60.0,2523.0,900.0,34.5,2.637,0.18,0.27,8.98,0.0
228,14.1,60.0,2548.0,900.0,36.0,2.541,0.19,0.28,8.08,0.0
228,14.1,60.0,2529.0,900.0,36.75,2.214,0.88,0.93,7.1,0.0
229,14.1,60.0,2482.0,900.0,37.5,1.843,0.87,0.86,5.1,0.0
229,14.1,60.0,2444.0,900.0,5.25,1.779,0.87,0.96,5.15,0.0
229,14.1,60.0,2407.0,2500.0,-13.5,0.0,0.11,0.49,5.15,-22.5
230,14.0,60.75,2335.0,900.0,-14.25,0.0,0.13,0.23,5.03,0.0
230,14.0,60.75,2216.0,2500.0,-14.25,0.0,0.12,0.23,4.66,-7.5
231,14.0,60.75,2078.0,900.0,-14.25,0.0,0.12,0.22,4.17,0.0
231,14.0,60.75,1941.0,900.0,-12.75,0.0,0.12,0.22,3.93,0.0
231,14.0,60.75,1834.0,900.0,-12.0,0.0,0.12,0.22,3.93,0.0
232,13.9,60.75,1738.0,900.0,-12.75,0.0,0.12,0.22,3.93,0.0
232,14.0,60.75,1662.0,900.0,-14.25,0.0,0.12,0.22,3.93,0.0
233,14.1,60.75,1625.0,900.0,-14.25,0.0,0.12,0.22,3.93,0.0
233,14.0,60.75,1592.0,2520.0,-2.25,2.496,0.13,0.22,3.88,39.75
233,14.1,61.5,1580.0,900.0,6.75,6.298,0.96,0.93,12.77,0.0
234,14.0,61.5,1602.0,900.0,9.0,12.365,1.0,1.05,33.03,0.0
234,14.1,61.5,1674.0,900.0,12.75,10.08,0.25,0.92,27.0,0.0
235,14.0,61.5,1755.0,900.0,17.25,9.318,0.31,0.45,22.02,0.0
235,14.0,61.5,1828.0,900.0,18.0,9.171,0.2,0.3,21.7,0.0
235,14.1,61.5,1902.0,900.0,18.75,9.005,0.86,0.93,20.68,0.0
236,14.0,61.5,1964.0,900.0,22.5,6.483,0.97,1.03,14.65,0.0
236,14.1,61.5,1992.0,900.0,14.25,3.411,0.94,1.03,7.96,0.0
237,14.1,61.5,1979.0,2000.0,32.25,2.464,0.11,0.5,371.88,93.75
237,14.1,61.5,1976.0,900.0,12.0,2.349,0.2,0.66,6.45,0.0
237,14.1,61.5,1976.0,900.0,34.5,2.022,0.19,0.27,5.35,0.0
238,14.1,62.25,1951.0,900.0,34.5,2.029,0.18,0.28,5.15,0.0
238,14.1,62.25,1919.0,2510.0,20.25,1.824,0.18,0.28,3.93,13.5
238,14.1,62.25,1876.0,900.0,5.25,1.626,0.15,0.24,4.0,0.0
239,14.1,62.25,1832.0,900.0,-12.0,0.0,0.15,0.23,3.93,0.0
239,14.1,62.25,1790.0,900.0,-12.0,0.0,0.13,0.22,3.93,0.0
240,13.9,62.25,1742.0,900.0,-13.5,0.0,0.12,0.22,4.0,0.0
240,14.0,62.25,1668.0,900.0,-14.25,0.0,0.12,0.2,4.05,0.0
240,13.9,62.25,1429.0,900.0,-15.0,0.0,0.12,0.2,4.05,0.0
241,13.2,62.25,1136.0,900.0,3.75,4.256,0.12,0.2,4.79,0.0
241,13.8,62.25,1143.0,900.0,0.0,3.494,0.93,0.93,4.74,0.0
242,14.0,62.25,1088.0,900.0,0.75,3.386,0.94,1.01,3.88,0.0
244,14.1,63.0,1321.0,900.0,33.75,2.829,0.18,0.22,9.42,0.0
245,14.1,63.0,1730.0,900.0,30.75,3.744,0.94,0.92,8.69,0.0
245,14.1,63.0,1683.0,900.0,29.25,4.205,0.82,0.58,8.2,0.0
245,14.1,63.0,1713.0,900.0,29.25,4.576,0.87,0.93,10.4,0.0
246,14.1,63.0,1760.0,900.0,29.25,4.403,0.19,0.38,9.79,0.0
248,14.1,63.75,2405.0,900.0,24.0,6.79,0.28,0.87,19.17,0.0
249,14.1,63.75,2548.0,900.0,24.0,7.29,0.18,0.24,21.09,0.0
249,14.1,63.75,2840.0,900.0,24.0,8.256,0.17,0.23,23.78,0.0
250,14.1,63.75,2966.0,900.0,23.25,8.781,0.39,0.29,24.15,0.0
250,14.1,63.75,3173.0,900.0,23.25,8.09,0.91,0.94,23.36,0.0
251,14.1,63.75,3322.0,900.0,23.25,7.475,0.81,0.94,23.17,0.0
251,14.1,63.75,3433.0,900.0,12.0,4.269,0.93,0.99,13.75,0.0
251,14.1,63.75,3186.0,900.0,39.0,1.466,0.19,0.27,6.93,0.0
252,14.1,63.75,2763.0,900.0,39.0,1.453,0.15,0.24,6.54,0.0
252,14.1,63.75,2240.0,900.0,4.5,5.754,0.86,0.31,13.18,0.0
253,14.1,64.5,2247.0,900.0,23.25,7.456,0.98,1.01,16.89,0.0
253,14.1,64.5,2312.0,900.0,17.25,8.934,0.89,0.98,25.73,0.0
253,14.1,64.5,2390.0,900.0,19.5,8.294,0.2,0.43,25.0,0.0
254,14.1,64.5,2461.0,900.0,20.25,8.442,0.21,0.28,25.73,0.0
254,14.1,64.5,2516.0,2520.0,21.0,8.608,0.11,0.48,1046.88,78.0
255,14.1,64.5,2599.0,900.0,21.0,8.896,0.19,0.28,27.54,0.0
255,14.1,64.5,2674.0,900.0,21.75,8.806,0.2,0.3,25.98,0.0
255,14.1,64.5,2710.0,900.0,32.25,3.072,0.93,0.96,10.69,0.0
256,14.1,64.5,2715.0,900.0,23.25,2.56,0.17,0.26,9.55,0.0
256,14.1,64.5,2748.0,900.0,29.25,7.424,0.22,0.27,18.9,0.0
257,14.1,64.5,2783.0,900.0,27.0,7.104,0.88,0.96,18.97,0.0
257,14.1,64.5,2829.0,900.0,27.0,6.803,0.4,0.86,18.55,0.0
257,14.1,64.5,2876.0,900.0,27.0,6.906,0.22,0.72,18.97,0.0
258,14.1,64.5,2922.0,900.0,28.5,4.838,0.24,0.75,13.06,0.0
258,14.1,65.25,2932.0,900.0,35.25,3.053,0.18,0.28,10.4,0.0
259,14.1,65.25,2921.0,900.0,37.5,2.413,0.24,0.31,7.96,0.0
259,14.1,65.25,2858.0,900.0,39.75,1.837,0.23,0.82,6.49,0.0
259,14.1,65.25,2881.0,900.0,36.75,2.97,0.19,0.29,10.4,0.0
260,14.1,65.25,2909.0,900.0,35.25,3.27,0.78,0.87,10.5,0.0
260,14.1,65.25,2867.0,900.0,34.5,3.917,0.83,0.89,11.96,0.0
261,14.1,65.25,2886.0,900.0,33.75,3.93,0.83,0.92,12.04,0.0
261,14.1,65.25,2888.0,900.0,33.75,3.974,0.79,0.63,12.08,0.0
261,14.1,65.25,2893.0,900.0,34.5,3.584,0.78,0.56,10.74,0.0
262,14.1,65.25,2844.0,900.0,39.0,1.926,0.19,0.55,6.74,0.0
262,14.1,65.25,2668.0,900.0,39.0,2.099,0.24,0.3,6.13,0.0
263,14.1,65.25,2220.0,900.0,18.0,2.995,0.14,0.22,9.3,0.0
263,14.1,66.0,2084.0,900.0,30.75,5.069,1.02,1.05,10.21,0.0
263,14.1,66.0,2078.0,900.0,26.25,6.464,1.01,1.08,12.94,0.0
264,14.1,66.0,2083.0,900.0,25.5,6.291,1.0,1.08,13.31,0.0
264,14.1,66.0,2093.0,900.0,26.25,5.363,0.98,1.07,12.21,0.0
265,14.1,66.0,2107.0,900.0,27.0,5.075,0.94,1.05,12.21,0.0
265,14.1,66.0,2116.0,900.0,27.0,4.877,0.9,1.03,12.21,0.0
265,14.1,66.0,2125.0,900.0,27.75,4.89,0.2,0.72,12.33,0.0
266,14.1,66.0,2127.0,900.0,27.75,4.909,0.78,0.8,12.33,0.0
266,14.1,66.0,2132.0,900.0,27.0,4.992,0.22,0.45,12.4,0.0
267,14.1,66.0,2139.0,900.0,27.0,5.05,0.23,0.65,12.45,0.0
267,14.1,66.0,2148.0,900.0,27.0,4.979,0.81,0.86,12.57,0.0
268,14.1,66.0,2154.0,900.0,27.0,5.043,0.79,0.78,12.57,0.0
268,14.1,66.0,2162.0,900.0,27.0,5.011,0.79,0.77,12.57,0.0
268,14.1,66.0,2169.0,2520.0,27.0,5.094,0.11,0.32,728.13,93.75
269,14.1,66.75,2177.0,900.0,27.75,5.043,0.22,0.76,12.57,-0.75
269,14.1,66.75,2182.0,900.0,27.75,4.998,0.27,0.81,12.45,-0.75
270,14.1,66.75,2189.0,900.0,28.5,4.794,0.81,0.87,12.21,-0.75
270,14.1,66.75,2189.0,900.0,15.0,3.398,0.21,0.51,8.13,0.0
272,14.1,66.75,2156.0,900.0,29.25,4.384,0.26,0.32,10.99,0.0
273,14.1,66.75,2166.0,900.0,29.25,4.205,0.82,0.86,10.89,0.0
273,14.1,66.75,2168.0,900.0,29.25,4.307,0.36,0.33,10.82,0.0
274,14.1,66.75,2173.0,900.0,29.25,4.109,0.54,0.84,10.64,0.0
274,14.1,66.75,2179.0,900.0,29.25,4.154,0.8,0.62,10.64,0.0
274,14.1,67.5,2178.0,900.0,30.0,4.064,0.23,0.43,10.4,0.0
275,14.1,67.5,2179.0,900.0,30.0,3.814,0.82,0.85,9.72,0.0
275,14.1,67.5,2179.0,900.0,30.75,3.667,0.35,0.33,9.42,0.0
276,14.1,67.5,2175.0,900.0,30.75,3.501,0.71,0.84,9.3,0.0
276,14.1,67.5,2173.0,900.0,30.75,3.565,0.84,0.78,9.3,0.0
276,14.1,67.5,2173.0,900.0,31.5,3.578,0.2,0.3,9.3,0.0
277,14.1,67.5,2161.0,900.0,16.5,2.701,0.22,0.5,7.06,0.0
277,14.1,67.5,2160.0,900.0,11.25,2.394,0.19,0.26,6.2,0.0
277,14.1,67.5,2135.0,900.0,25.5,2.118,0.76,0.63,5.15,0.0
278,14.1,67.5,2109.0,900.0,12.75,1.888,0.94,0.98,4.05,0.0
278,14.1,67.5,2086.0,2500.0,1.5,1.542,0.18,0.42,3.32,-94.5
279,14.1,67.5,2059.0,900.0,-12.75,0.0,0.16,0.22,3.56,0.0
279,14.1,67.5,2029.0,900.0,-13.5,0.0,0.13,0.2,3.93,0.0
280,14.1,67.5,1998.0,900.0,-14.25,0.0,0.12,0.19,4.0,0.0
280,14.1,67.5,1942.0,900.0,-13.5,0.0,0.12,0.19,4.0,0.0
281,14.1,67.5,1915.0,900.0,-12.75,0.0,0.12,0.2,4.0,0.0
281,14.1,68.25,1884.0,900.0,-12.75,0.0,0.12,0.19,4.05,0.0
282,14.1,68.25,1857.0,900.0,-12.75,0.0,0.12,0.19,4.13,0.0
282,14.1,68.25,1829.0,900.0,-12.75,0.0,0.12,0.19,4.05,0.0
282,14.1,68.25,1802.0,900.0,-12.75,0.0,0.12,0.2,4.13,0.0
285,13.5,68.25,1121.0,900.0,0.0,3.552,0.16,0.21,4.3,0.0
285,14.0,68.25,1057.0,900.0,0.75,3.469,0.94,0.96,4.17,0.0
286,14.1,68.25,1025.0,900.0,2.25,3.917,0.97,1.03,4.66,0.0
286,14.0,68.25,1008.0,900.0,0.75,2.886,0.98,1.04,3.15,0.0
286,14.0,68.25,950.0,900.0,12.0,2.899,0.93,1.03,3.56,0.0
287,14.0,68.25,905.0,900.0,12.75,3.667,0.21,0.82,7.1,0.0
287,14.0,68.25,954.0,900.0,-1.5,3.853,0.86,0.75,4.74,0.0
288,14.0,68.25,918.0,900.0,6.75,3.904,0.89,0.94,3.88,0.0
288,14.0,68.25,902.0,900.0,-1.5,3.194,0.2,0.3,3.32,0.0
288,14.0,68.25,894.0,900.0,7.5,3.117,0.21,0.26,3.44,0.0
289,14.0,68.25,928.0,900.0,-0.75,3.872,0.39,0.37,4.79,0.0
289,14.0,68.25,931.0,900.0,0.0,3.61,0.9,0.9,3.32,0.0
290,14.1,68.25,903.0,900.0,6.0,3.014,0.9,0.94,3.2,0.0
290,14.1,68.25,908.0,900.0,-3.0,3.725,0.22,0.88,4.54,0.0
290,14.0,68.25,917.0,900.0,-0.75,3.731,0.38,0.26,3.32,0.0
291,14.0,68.25,888.0,900.0,9.0,3.213,0.84,0.86,4.37,0.0
291,14.1,68.25,902.0,900.0,1.5,3.61,0.18,0.23,4.13,0.0
292,14.0,68.25,910.0,900.0,0.0,3.36,0.69,0.43,3.08,0.0
292,14.0,68.25,886.0,900.0,15.0,2.797,0.84,0.86,3.32,0.0
292,14.0,68.25,885.0,800.0,9.0,2.854,0.19,0.27,3.39,0.0
293,14.0,68.25,858.0,80.0,8.25,2.944,0.11,0.6,853.13,0.0
293,14.1,68.25,850.0,800.0,5.25,3.149,0.18,0.22,3.44,0.0
294,14.0,69.0,837.0,800.0,13.5,3.168,0.18,0.21,3.44,0.0
294,14.0,69.0,817.0,800.0,15.75,3.168,0.17,0.2,3.44,0.0
294,13.9,69.0,806.0,800.0,15.0,3.238,0.18,0.2,3.44,0.0
295,14.0,69.0,810.0,800.0,5.25,3.258,0.2,0.22,3.44,0.0
295,14.0,69.0,806.0,800.0,-0.75,3.328,0.21,0.22,3.44,0.0
296,14.0,69.0,810.0,800.0,-1.5,3.52,0.31,0.27,3.44,0.0
296,14.1,69.0,809.0,800.0,1.5,3.334,0.83,0.84,3.44,0.0
296,14.1,69.0,808.0,800.0,0.0,3.277,0.76,0.82,3.44,0.0
297,14.1,69.0,801.0,800.0,6.75,3.373,0.2,0.23,3.39,0.0
297,14.1,69.0,805.0,800.0,2.25,3.45,0.23,0.25,3.39,0.0
298,14.1,69.0,806.0,800.0,4.5,3.315,0.83,0.86,3.39,0.0
298,14.1,69.0,795.0,800.0,9.0,3.309,0.21,0.74,3.39,0.0
299,14.1,69.0,810.0,800.0,1.5,3.373,0.22,0.23,3.32,0.0
299,14.1,69.0,809.0,800.0,3.75,3.315,0.81,0.78,3.32,0.0
300,14.1,69.0,804.0,800.0,5.25,3.238,0.79,0.85,3.32,0.0
300,14.1,69.0,798.0,800.0,6.75,3.296,0.21,0.27,3.32,0.0
300,14.1,69.0,808.0,800.0,6.0,3.29,0.22,0.22,3.32,0.0
301,14.1,69.0,807.0,800.0,6.0,3.245,0.81,0.79,3.32,0.0
301,14.1,69.0,799.0,800.0,8.25,3.162,0.82,0.84,3.32,0.0
302,14.1,69.0,802.0,800.0,2.25,3.334,0.23,0.32,3.27,0.0
302,14.1,69.75,805.0,800.0,-1.5,3.418,0.22,0.23,3.32,0.0
302,14.1,69.75,807.0,800.0,5.25,3.277,0.81,0.8,3.27,0.0
303,14.1,69.75,799.0,800.0,6.0,3.302,0.83,0.84,3.2,0.0
303,14.1,69.75,802.0,800.0,5.25,3.347,0.21,0.25,3.27,0.0
303,14.1,69.75,804.0,800.0,3.0,3.398,0.35,0.27,3.27,0.0
304,14.1,69.75,805.0,800.0,5.25,3.258,0.86,0.83,3.2,0.0
304,14.1,69.75,794.0,800.0,5.25,3.27,0.83,0.85,3.2,0.0
305,14.0,69.75,796.0,800.0,9.75,3.232,0.2,0.32,3.2,0.0
305,14.1,69.75,799.0,800.0,6.75,3.334,0.22,0.22,3.2,0.0
305,14.0,69.75,802.0,800.0,2.25,3.264,0.8,0.76,3.2,0.0
306,14.1,69.75,794.0,800.0,7.5,3.142,0.78,0.82,3.2,0.0
