timestamp|ID|direction|type|DLC|data
0.317418|392|Rx|d|5|FF00FFF000
0.317418|668|Rx|d|2|0000
0.317418|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.317418|90|Rx|d|5|FF0008A500
0.317418|c6|Rx|d|8|FFFFFFFFFFFF50B5
0.317418|29a|Rx|d|8|00000000000004FB
0.317418|2b7|Rx|d|5|00E0FFFE00
0.317418|211|Rx|d|8|8200FFFFA90000CE
0.317418|214|Rx|d|2|FBFE
0.317418|218|Rx|d|1|98
0.317418|4fa|Rx|d|2|0800
0.317418|1b0|Rx|d|4|FF00FFC0
0.317418|671|Rx|d|2|0200
0.317418|657|Rx|d|2|C0CC
0.327411|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.327411|90|Rx|d|5|FF0009E900
0.327411|c6|Rx|d|8|803D80007FE3B2AE
0.327411|242|Rx|d|8|0000FFEFFE000D00
0.327411|29c|Rx|d|8|00000000FFFF0000
0.327411|352|Rx|d|4|5C0000FF
0.331407|4ac|Rx|d|5|83742A0080
0.331407|45c|Rx|d|6|00000000FFE0
0.337405|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.337405|90|Rx|d|5|FF000A3D00
0.337405|c6|Rx|d|8|803D80007FE3B4AC
0.337405|29a|Rx|d|8|00000000000005FA
0.337405|2b7|Rx|d|5|00E0FFFE00
0.337405|211|Rx|d|8|8200FFFFA90000CE
0.337405|214|Rx|d|2|FBFE
0.337405|1b0|Rx|d|4|FF00FFC0
0.371891|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.371891|90|Rx|d|5|FF000B7100
0.371891|c6|Rx|d|8|803D80007FE3B6AA
0.371891|242|Rx|d|8|0000FFEFFE000D00
0.371891|29c|Rx|d|8|00000000FFFF0000
0.371891|354|Rx|d|8|0000000000000000
0.371891|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.371891|90|Rx|d|5|FF000C8800
0.371891|c6|Rx|d|8|803D80007FE3B8A8
0.371891|29a|Rx|d|8|00000000000006F9
0.371891|2b7|Rx|d|5|00E0FFFE00
0.371891|5d7|Rx|d|7|000008125200C0
0.371891|211|Rx|d|8|8200FFFFA90000CF
0.371891|214|Rx|d|2|FBFE
0.371891|1b0|Rx|d|4|FF00FFC0
0.371891|392|Rx|d|5|FF00FFF000
0.371891|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.371891|90|Rx|d|5|FF000DC400
0.371891|c6|Rx|d|8|803D80007FE3BAA6
0.371891|242|Rx|d|8|0000FFEFFE000D00
0.371891|29c|Rx|d|8|00000000FFFF0000
0.371891|352|Rx|d|4|5C0000FF
0.411733|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.411733|90|Rx|d|5|FF000E1000
0.411733|c6|Rx|d|8|803D80007FE3BCA4
0.411733|29a|Rx|d|8|00000000000007F8
0.411733|2b7|Rx|d|5|00E0FFFE00
0.411733|666|Rx|d|4|34800008
0.411733|211|Rx|d|8|8200FFFFA90000CF
0.411733|4f8|Rx|d|8|54C0000000000000
0.411733|214|Rx|d|2|FBFE
0.411733|350|Rx|d|8|C22F3AF01410A405
0.411733|1b0|Rx|d|4|FF00FFC0
0.411733|4de|Rx|d|3|C00000
0.411733|55d|Rx|d|8|00FC50C090800000
0.411733|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.411733|90|Rx|d|5|FF000F5C00
0.411733|c6|Rx|d|8|803D80007FE3BEA2
0.411733|242|Rx|d|8|0000FFEFFE000D00
0.411733|29c|Rx|d|8|00000000FFFF0000
0.411733|354|Rx|d|8|0000000000000000
0.411733|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.411733|90|Rx|d|5|FF0000FF00
0.411733|c6|Rx|d|8|803D80007FE3A0C0
0.411733|29a|Rx|d|8|00000000000008F7
0.411733|2b7|Rx|d|5|00E0FFFE00
0.411733|211|Rx|d|8|8200FFFFA90000CF
0.411733|3b7|Rx|d|6|00007FC000C0
0.411733|214|Rx|d|2|FBFE
0.411733|1b0|Rx|d|4|FF00FFC0
0.411733|5de|Rx|d|8|0000000000000000
0.411733|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.411733|90|Rx|d|5|FF0001B300
0.411733|c6|Rx|d|8|803D80007FE3A2BE
0.411733|242|Rx|d|8|0000FFEFFE000D00
0.411733|29c|Rx|d|8|00000000FFFF0000
0.411733|352|Rx|d|4|5C0000FF
0.411733|5df|Rx|d|3|001500
0.447388|392|Rx|d|5|FF00FFF000
0.447388|668|Rx|d|2|0000
0.447388|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.447388|90|Rx|d|5|FF00026700
0.447388|c6|Rx|d|8|803D80007FE3A4BC
0.447388|29a|Rx|d|8|00000000000009F6
0.447388|2b7|Rx|d|5|00E0FFFE00
0.447388|211|Rx|d|8|8200FFFFA90000CF
0.447388|214|Rx|d|2|0000
0.447388|218|Rx|d|1|98
0.447388|4fa|Rx|d|2|0800
0.447388|1b0|Rx|d|4|FF00FFC0
0.447388|657|Rx|d|2|C0CC
0.447388|671|Rx|d|2|0200
0.447388|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.447388|90|Rx|d|5|FF00032B00
0.447388|c6|Rx|d|8|803D80007FE3A6BA
0.447388|242|Rx|d|8|0000FFEFFE000D00
0.447388|29c|Rx|d|8|00000000FFFF0000
0.447388|354|Rx|d|8|0000000000000000
0.447388|4ac|Rx|d|5|83742A0080
0.447388|45c|Rx|d|6|00000000FFE0
0.447388|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.447388|90|Rx|d|5|FF0004D200
0.447388|c6|Rx|d|8|803D80007FE3A8B8
0.447388|29a|Rx|d|8|0000000000000AF5
0.447388|2b7|Rx|d|5|00E0FFFE00
0.447388|211|Rx|d|8|8200FFFFA90000CF
0.447388|214|Rx|d|2|0000
0.447388|1b0|Rx|d|4|FF00FFC0
0.447388|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.447388|90|Rx|d|5|FF00059E00
0.447388|c6|Rx|d|8|803D80007FE3AAB6
0.447388|242|Rx|d|8|0000FFEFFE000D00
0.447388|29c|Rx|d|8|00000000FFFF0000
0.447388|352|Rx|d|4|5C0000FF
0.457460|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.457460|90|Rx|d|5|FF00064A00
0.457460|c6|Rx|d|8|803D80007FE3ACB4
0.457460|29a|Rx|d|8|0000000000000BF4
0.457460|2b7|Rx|d|5|00E0FFFE00
0.457460|5d7|Rx|d|7|000008125200C0
0.457460|211|Rx|d|8|8200FFFFA90000CF
0.457460|214|Rx|d|2|0000
0.457460|1b0|Rx|d|4|FF00FFC0
0.465456|392|Rx|d|5|FF00FFF000
0.465456|12e|Rx|d|8|CB80007FF0FFFF00
0.465456|90|Rx|d|5|FF00070600
0.465456|c6|Rx|d|8|803D80007FE3AEB2
0.465456|242|Rx|d|8|0000FFEFFE000D00
0.465456|29c|Rx|d|8|00000000FFFF0000
0.465456|354|Rx|d|8|0000000000000000
0.471451|350|Rx|d|8|C32F3AF01410A485
0.477450|12e|Rx|d|8|CB80007FF0FFFF00
0.477450|90|Rx|d|5|FF0008A500
